,timestamp,bitcoin,ethereum,cardano,binance-coin,polkadot,tether,xrp,litecoin,chainlink,stellar
0,18:49:43,44776.6005272607937328,1363.1504537267837307,1.2472268334944982,211.4234769677450370,31.0554019202323163,1.0013096549943697,0.4161364223570948,161.2767767416018073,24.1173426791662243,0.3997878284400542
1,18:50:03,44781.0625958762265425,1363.3083520514228467,1.2471779394422990,211.4391145935334549,31.0554019202323163,1.0013096549943697,0.4161364223570948,161.2767767416018073,24.0912901397871182,0.3994412409715637
2,18:50:18,44782.9465229169944943,1363.5738277837283656,1.2470695303398628,211.4712311790445663,31.0579704153168733,1.0013789988949312,0.4161886188038245,161.3459874031757391,24.0919415538913383,0.3994266452798489
3,18:50:44,44777.6908558020098524,1363.5576736777940818,1.2470445106211233,211.4897680239941802,31.0531907120077547,1.0013536119520406,0.4161695957698272,161.3034514729985605,24.0927944211986115,0.3993966899807129
4,18:51:02,44769.9860765316208011,1363.2520168170919089,1.2443777477716943,211.4982310457588757,31.0422102450600698,1.0013317465975827,0.4158869487488043,161.3384278874671664,24.1171677656099471,0.3994866670031296
5,18:51:18,44766.5082295035171302,1363.2100139893033436,1.2443777477716943,211.4982310457588757,31.0422102450600698,1.0013317466202334,0.4158076151736484,161.3310364381712701,24.1513874260283612,0.3995357710828641
6,18:51:36,44766.7042306035275693,1363.1813388317205678,1.2442938209471087,211.5128384939414760,31.0445107286114598,1.0013317466202334,0.4158076151736484,161.3233338155114145,24.1500921779681889,0.3995087817825882
7,18:51:50,44766.2488012910292048,1363.1965558417247719,1.2442597416041467,211.4974094568866943,31.0456440231160812,1.0013512605764885,0.4156754256725605,161.3242022828302055,24.1497089772839435,0.3995435051802708
8,18:52:14,44775.3536412451529504,1363.4096353807281171,1.2444682129765616,211.4582139742062403,31.0456440231160812,1.0013512605764885,0.4156754256725605,161.3242022828302055,24.1379172861790884,0.3993106605565957
9,18:52:28,44758.6699820814422088,1362.4643974800627985,1.2450323873956625,211.3179109783430433,31.0389140250043748,1.0014432692762882,0.4156424002463200,161.2850392343028393,24.1411181026220684,0.3993310430304496
